File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::ReleaseDeviceIndependentResources(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::CreateDeviceResources(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::ReleaseDeviceResources(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::Draw(),36,24,19,3,6,0,6,45,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,"CSampleDynamicDpiWindow::OnPointerUp( _In_ float x, _In_ float y )",2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,"CSampleDynamicDpiWindow::OnPointerDown( _In_ float x, _In_ float y )",2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,"CSampleDynamicDpiWindow::OnPointerUpdate( _In_ float x, _In_ float y )",2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::OnDisplayChange(),17,15,13,1,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,"CSampleDynamicDpiWindow::OnDpiChange( _In_ int dpi, _In_ LPRECT newRect )",6,6,6,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,"CSampleDynamicDpiWindow::CalcWindowRectNewDpi( _In_ RECT oldRect, _In_ float oldDpi, _In_ float newDpi )",9,7,8,1,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::RebuildCurrentDpiString(),26,19,19,0,7,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::GetDpiForWindow(),11,10,8,2,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementAnimation.cpp,CSampleElementAnimation::CSampleElementAnimation(void),1,1,1,0,0,0,0,0,
