264,j_?SetAttribute@TiXmlElement@@QAEXPBD0@Z
265,j___dosmaperr
266,j_??1type_info@@UAE@XZ
267,j_?PreviousSibling@TiXmlNode@@QBEPBV1@PBD@Z
268,j_?ToDocument@TiXmlDocument@@UBEPBV1@XZ
269,j_?getPrimaryDataType@UnDecorator@@CA?AVDName@@ABV2@@Z
270,j_??0TiXmlParsingData@@AAE@PBDHHH@Z
271,j_?InsertEndChild@TiXmlNode@@QAEPAV1@ABV1@@Z
272,j___aligned_msize_dbg
273,j__WriteConsoleW@20
274,j___ismbbtrail
275,j_?doEllipsis@UnDecorator@@SAHXZ
276,j_?getVbTableType@UnDecorator@@CA?AVDName@@ABV2@@Z
277,j_?swap@TiXmlString@@QAEXAAV1@@Z
278,j_?Parse@TiXmlElement@@UAEPBDPBDPAVTiXmlParsingData@@W4TiXmlEncoding@@@Z
279,j_?Parse@TiXmlComment@@UAEPBDPBDPAVTiXmlParsingData@@W4TiXmlEncoding@@@Z
280,j____termconout
281,j_?ToUnknown@TiXmlHandle@@QBEPAVTiXmlUnknown@@XZ
282,j___ismbbpunct
283,j_?getReferenceType@UnDecorator@@CA?AVDName@@ABV2@0PBD@Z
284,j____ctrlfp_sse2
285,j___wchartodigit
286,j_?ToElement@TiXmlElement@@UAEPAV1@XZ
287,j_?Clear@TiXmlNode@@QAEXXZ
288,j_??0DNameStatusNode@@AAE@W4DNameStatus@@@Z
289,j_?ToElement@TiXmlElement@@UBEPBV1@XZ
290,j_?IterateChildren@TiXmlNode@@QAEPAV1@PBV1@@Z
291,j___vfprintf_l
292,j__isalpha
293,j_??_GTiXmlNode@@UAEPAXI@Z
294,j_?finish@TiXmlString@@ABEPADXZ
295,j___flswbuf
296,j_?_Tidy@exception@std@@AAEXXZ
297,j___malloc_base
298,j__iswprint
299,j___vfprintf_p
300,j___allshl
301,j_?IsWhiteSpaceCondensed@TiXmlBase@@SA_NXZ
302,j___putwch
303,j_____lc_collate_cp_func
304,j___ultow_s
305,j_?RemoveChild@TiXmlNode@@QAE_NPAV1@@Z
306,j_?GetEntity@TiXmlBase@@KAPBDPBDPADPAHW4TiXmlEncoding@@@Z
307,j_?ReplaceChild@TiXmlNode@@QAEPAV1@PAV1@ABV1@@Z
308,j____set_fpsr_sse2
309,j_??HDName@@QBE?AV0@ABV0@@Z
310,j___ltow_s
311,j___chkstk
312,j_?_CrtDbgReportW@@YAHHPBGH00ZZ
313,j__GetModuleFileNameW@12
314,j___ismbbkana_l
315,j_?FirstChild@TiXmlNode@@QAEPAV1@XZ
316,j__GetLocaleInfoW@16
317,j__isgraph
318,j___strtoi64
319,j_?Clone@TiXmlElement@@UBEPAVTiXmlNode@@XZ
320,j____add_12
321,j____shr_12
322,j_?VisitEnter@TiXmlPrinter@@UAE_NABVTiXmlDocument@@@Z
323,j___ismbbprint_l
324,j__wcsncat_s
325,j__fprintf
326,j__GetLocaleInfoA@16
327,j___allmul
328,j____security_init_cookie
329,j___wassert
330,j_?init@TiXmlString@@AAEXI@Z
331,j__mbtowc
332,j___CrtSetReportHook
333,j_?QueryDoubleValue@TiXmlAttribute@@QBEHPAN@Z
334,j_?FirstChild@TiXmlNode@@QBEPBV1@XZ
335,j__fclose
336,j__iscntrl
337,j_?GetLocaleT@_LocaleUpdate@@QAEPAUlocaleinfo_struct@@XZ
